i,N,engine,time(s)
0,40,ref,.04
1,60,ref,.12
2,80,ref,.29
3,100,ref,.60
4,120,ref,1.05
5,140,ref,1.73
6,160,ref,2.71
7,180,ref,4.37
8,200,ref,6.17
9,220,ref,8.58
10,240,ref,11.60
11,260,ref,15.26
12,280,ref,19.91
13,300,ref,25.60
14,320,ref,32.02
15,340,ref,39.87
16,360,ref,49.61
17.97926484448633364750,380,ref,60.22
0,40,tbb,.20
1,60,tbb,.65
2,80,tbb,1.48
3,100,tbb,2.90
4,120,tbb,5.13
5,140,tbb,8.44
6,160,tbb,13.68
7,180,tbb,20.61
8,200,tbb,29.37
9,220,tbb,40.61
10,240,tbb,54.84
11.27741935483870967741,260,tbb,73.44
0,40,opencl,2.62
1,60,opencl,3.12
2,80,opencl,3.65
3,100,opencl,4.17
4,120,opencl,4.70
5,140,opencl,5.23
6,160,opencl,5.79
7,180,opencl,6.33
8,200,opencl,6.92
9,220,opencl,7.46
10,240,opencl,8.09
11,260,opencl,8.67
12,280,opencl,9.35
13,300,opencl,10.04
14,320,opencl,10.77
15,340,opencl,11.46
16,360,opencl,12.28
17,380,opencl,13.01
18,400,opencl,13.96
19,420,opencl,14.78
20,440,opencl,15.96
21,460,opencl,16.88
22,480,opencl,18.13
23,500,opencl,19.29
24,520,opencl,20.65
25,540,opencl,21.81
26,560,opencl,23.36
27,580,opencl,24.81
28,600,opencl,26.81
29,620,opencl,28.28
30,640,opencl,30.39
31,660,opencl,32.21
32,680,opencl,34.46
33,700,opencl,36.38
34,720,opencl,39.21
35,740,opencl,41.29
36,760,opencl,44.50
37,780,opencl,47.09
38,800,opencl,50.70
39,820,opencl,53.64
40,840,opencl,58.00
41.65359477124183006535,860,opencl,61.06
0,40,opt,.03
1,60,opt,.08
2,80,opt,.14
3,100,opt,.23
4,120,opt,.35
5,140,opt,.57
6,160,opt,.90
7,180,opt,1.31
8,200,opt,1.84
9,220,opt,2.50
10,240,opt,3.25
11,260,opt,4.57
12,280,opt,5.76
13,300,opt,7.48
14,320,opt,9.18
15,340,opt,10.89
16,360,opt,12.75
17,380,opt,15.33
18,400,opt,17.70
19,420,opt,20.68
20,440,opt,23.90
21,460,opt,28.76
22,480,opt,34.13
23,500,opt,40.05
24,520,opt,46.08
25,540,opt,54.15
26.68421052631578947368,560,opt,62.70
