i,N,engine,time(s)
0,25,ref,0
1,45,ref,.03
2,65,ref,.14
3,85,ref,.32
4,105,ref,3.01
5,125,ref,3.48
6,145,ref,7.07
7,165,ref,8.63
8,185,ref,10.05
9,205,ref,28.29
10,225,ref,33.34
11.45071851225697379543,245,ref,92.49
0,25,tbb,.01
1,45,tbb,.06
2,65,tbb,.20
3,85,tbb,.42
4,105,tbb,2.49
5,125,tbb,2.96
6,145,tbb,5.39
7,165,tbb,6.62
8,185,tbb,7.77
9,205,tbb,17.55
10,225,tbb,20.87
11,245,tbb,50.17
12.30853735091023226616,265,tbb,82.03
0,25,opt,.01
1,45,opt,.03
2,65,opt,.08
3,85,opt,.15
4,105,opt,.72
5,125,opt,.89
6,145,opt,1.57
7,165,opt,2.00
8,185,opt,2.47
9,205,opt,5.30
10,225,opt,6.44
11,245,opt,14.41
12,265,opt,23.31
13,285,opt,26.70
14,305,opt,29.03
15,325,opt,32.89
16,345,opt,36.61
17,365,opt,41.22
18,385,opt,45.90
19,405,opt,51.38
20,425,opt,58.07
21.12371794871794871794,445,opt,73.67
