i,N,engine,time(s)
0,35,tbb,0
1,103,tbb,.02
2,183,tbb,.07
3,271,tbb,.21
4,364,tbb,.47
5,461,tbb,.90
6,562,tbb,1.64
7,667,tbb,2.78
8,774,tbb,4.41
9,884,tbb,6.62
10,996,tbb,9.74
11,1110,tbb,13.55
12,1227,tbb,18.51
13,1345,tbb,24.32
14,1465,tbb,31.25
15,1587,tbb,39.51
16,1711,tbb,49.35
17.91652323580034423407,1836,tbb,60.97
0,35,opt,0
1,103,opt,0
2,183,opt,.02
3,271,opt,.04
4,364,opt,.09
5,461,opt,.18
6,562,opt,.33
7,667,opt,.57
8,774,opt,.93
9,884,opt,1.44
10,996,opt,2.16
11,1110,opt,3.21
12,1227,opt,4.52
13,1345,opt,6.20
14,1465,opt,8.54
15,1587,opt,11.30
16,1711,opt,15.10
17,1836,opt,19.25
18,1962,opt,24.94
19,2090,opt,31.81
20,2219,opt,39.73
21,2350,opt,48.89
22.99820305480682839173,2482,opt,60.02
