i,N,engine,time(s)
0,275,opt,.01
1,2075,opt,.01
2,5675,opt,.02
3,11075,opt,.03
4,18275,opt,.03
5,27275,opt,.04
6,38075,opt,.06
7,50675,opt,.08
8,65075,opt,.11
9,81275,opt,.15
10,99275,opt,.21
11,119075,opt,.32
12,140675,opt,.45
13,164075,opt,.63
14,189275,opt,.82
15,216275,opt,1.05
16,245075,opt,1.31
17,275675,opt,1.59
18,308075,opt,1.94
19,342275,opt,2.35
20,378275,opt,2.80
21,416075,opt,3.29
22,455675,opt,3.86
23,497075,opt,4.48
24,540275,opt,5.15
25,585275,opt,5.89
26,632075,opt,6.70
27,680675,opt,7.57
28,731075,opt,8.50
29,783275,opt,9.55
30,837275,opt,10.72
31,893075,opt,11.97
32,950675,opt,13.25
33,1010075,opt,14.69
34,1071275,opt,16.20
35,1134275,opt,17.80
36,1199075,opt,19.50
37,1265675,opt,21.28
38,1334075,opt,23.29
39,1404275,opt,25.30
40,1476275,opt,27.43
41,1550075,opt,29.62
42,1625675,opt,32.03
43,1703075,opt,34.43
44,1782275,opt,37.17
45,1863275,opt,39.83
46,1946075,opt,42.91
47,2030675,opt,45.93
48,2117075,opt,49.07
49,2205275,opt,52.63
50,2295275,opt,56.24
51,2387075,opt,59.93
52.01799485861182519280,2480675,opt,63.82
